date,station_id,dN,dE,dU,skt,sp,src,ssr,stl1,swvl1,tp
9/1/2016,P210,0.15833,-0.13123,0.00076,291.9345,99788.5,1.41E-05,4797398.5,292.82205,0.13516946,8.55E-05
9/2/2016,P210,0.15705,-0.13137,0.0093,291.41022,99676.375,5.04E-06,5019546.5,292.2089,0.13571474,1.64E-05
9/3/2016,P210,0.15689,-0.13162,0.00914,290.92007,99507.48,4.65E-06,4407857.5,291.9729,0.13573681,3.18E-05
9/4/2016,P210,0.15776,-0.13164,0.004,290.15494,99453.5,1.52E-05,3613877,291.05905,0.13712612,0.000153655
9/5/2016,P210,0.15822,-0.13177,0.00483,290.72644,99367.51,1.73E-06,4886783.5,291.30103,0.13822928,2.28E-05
9/6/2016,P210,0.15764,-0.1319,0.00298,291.79175,99390.35,7.03E-06,5427504.5,292.09927,0.13764822,8.45E-07
9/7/2016,P210,0.15862,-0.13245,0.0002,293.99612,99472.1,1.91E-06,5431605,293.9181,0.13683878,1.60E-07
9/8/2016,P210,0.15749,-0.13179,-0.00356,292.2891,100008.19,6.98E-06,5113578,293.19696,0.13621755,3.20E-06
9/9/2016,P210,0.15807,-0.13146,-0.00247,291.36115,99926.914,5.67E-06,5181173.5,292.23245,0.13592884,8.84E-07
9/10/2016,P210,0.15869,-0.13206,-0.00711,291.74402,99958.1,3.17E-06,5117293.5,292.3831,0.13559906,3.98E-07
9/11/2016,P210,0.15664,-0.1309,-0.00125,291.0568,100085.85,4.46E-06,4863000.5,291.97403,0.13532372,1.24E-06
9/12/2016,P210,0.15771,-0.13238,0.00317,290.52228,99714.125,3.37E-06,4199384.5,291.51685,0.13534576,2.33E-05
9/13/2016,P210,0.15864,-0.13342,0.00401,289.76364,99497.29,3.99E-06,3864947,290.67673,0.1356234,2.88E-05
9/14/2016,P210,0.15869,-0.13162,0.00021,290.34216,99992.82,9.06E-06,4782330.5,290.88925,0.13574524,3.12E-06
9/15/2016,P210,0.15883,-0.13276,-0.00067,290.83752,100034.98,6.58E-06,4924058.5,291.38626,0.13540521,1.18E-08
9/16/2016,P210,0.15872,-0.13288,0.00254,291.29642,99797.52,6.70E-06,4952134.5,291.85544,0.135132,1.35E-06
9/17/2016,P210,0.15866,-0.13279,0.00423,292.52682,99785.875,6.14E-06,4900231.5,292.68066,0.13489702,1.22E-06
9/18/2016,P210,0.15943,-0.1327,0.00681,294.70392,99715.62,2.15E-06,4811671,294.43137,0.13458301,7.17E-08
9/19/2016,P210,0.15829,-0.13313,0.00667,295.78018,99619,6.00E-07,4755340,295.68964,0.1342627,1.23E-06
9/20/2016,P210,0.15891,-0.13266,0.00443,294.4404,99774.62,2.12E-06,4565327.5,294.9559,0.13404925,4.45E-07
9/21/2016,P210,0.15712,-0.13289,0.00817,291.69775,99692.68,9.89E-07,4185099,293.00406,0.13394208,2.17E-06
9/22/2016,P210,0.15865,-0.13316,0.00841,289.41656,99894.414,2.76E-06,4382057.5,290.92114,0.13415451,2.58E-05
9/23/2016,P210,0.15946,-0.13384,0.00115,289.34677,100176.695,9.41E-06,4347219.5,290.3309,0.1343563,2.63E-06
9/24/2016,P210,0.15918,-0.13129,0.00368,291.84244,100230.23,2.39E-06,4414488.5,291.9507,0.13422774,3.39E-07
9/25/2016,P210,0.15952,-0.13334,0.00331,294.8005,99983.62,3.12E-06,4442918.5,294.3415,0.1340508,6.46E-07
9/26/2016,P210,0.15931,-0.13375,0.00635,296.27762,99796.54,1.96E-07,4429508.5,295.82297,0.13380215,3.63E-08
9/27/2016,P210,0.15914,-0.13356,0.00556,296.51205,99594.414,-4.16E-20,4375615.5,296.47992,0.13353427,0
9/28/2016,P210,0.15973,-0.13374,0.00059,293.8829,99486.38,2.18E-08,4271130,294.8149,0.13338931,7.10E-08
9/29/2016,P210,0.1599,-0.13361,-0.00388,291.51807,99885.71,3.17E-06,4153841.2,292.78824,0.13339229,1.47E-06
9/30/2016,P210,0.15976,-0.13375,0.0028,289.4392,100174.96,6.58E-06,4137176.2,291.0341,0.13341592,7.06E-07
10/1/2016,P210,0.16022,-0.13408,0.00107,288.07678,100225.086,6.87E-06,4194934.5,289.50992,0.13345294,5.02E-08
10/2/2016,P210,0.16031,-0.13262,0.0001,287.5162,100066.48,1.79E-05,3407627.2,288.92935,0.13372703,3.01E-05
10/3/2016,P210,0.15954,-0.1337,0.0033,286.72144,100139.04,2.63E-05,2517496.2,288.00827,0.13591914,1.46E-05
10/4/2016,P210,0.16011,-0.13401,0.00458,290.11395,99848.164,1.83E-06,2795224.2,290.00266,0.13584022,7.99E-06
10/5/2016,P210,0.1599,-0.13313,0.00464,288.27377,99954.32,7.83E-06,3912233.2,289.27325,0.13566037,1.24E-06
10/6/2016,P210,0.16025,-0.13318,0.00549,289.1924,99972.74,6.96E-06,3940934.8,289.75345,0.13543053,1.02E-06
10/7/2016,P210,0.16011,-0.13322,0.00559,290.75012,99780.23,1.76E-06,3725952.8,290.9482,0.1351354,6.05E-07
10/8/2016,P210,0.16004,-0.13446,0.00343,292.65823,99550.164,1.06E-07,3756648,292.5676,0.13478561,5.69E-07
10/9/2016,P210,0.16025,-0.13373,0.00104,291.72638,99650.69,7.64E-07,3779720.2,292.24246,0.13452162,1.03E-06
10/10/2016,P210,0.16031,-0.13393,0.00522,289.70517,99745.664,3.35E-06,3558263.2,290.85782,0.13439505,6.12E-07
10/11/2016,P210,0.16055,-0.13429,0.00354,289.51733,99940.664,1.42E-05,3231964.8,290.3897,0.13499497,7.97E-05
10/12/2016,P210,0.1614,-0.13352,0.00254,288.55338,100063.375,6.68E-06,2921822.8,289.5051,0.13543251,9.35E-06
10/13/2016,P210,0.16124,-0.13487,-0.00346,287.82806,100067.15,7.32E-06,2854904,288.83768,0.13535711,5.78E-07
10/14/2016,P210,0.1613,-0.135,0.00341,288.54312,99837.4,3.57E-05,1701116.4,289.22095,0.13663603,0.000168355
10/15/2016,P210,0.16205,-0.13579,0.0036,291.0431,99660.445,0.000208867,1734520.6,290.89163,0.18040037,0.002086637
10/16/2016,P210,0.162,-0.13498,0.00752,290.1913,99418.836,0.000250172,1177398.9,290.8903,0.2737812,0.007791084
10/17/2016,P210,0.16255,-0.13433,0.0058,289.0822,99750.13,0.000208892,2453623.2,289.73782,0.35849193,0.00423077
