station_id,latitude,longitude
P210,36.81613795,-121.7318433
P211,36.87917657,-121.6980393
P212,36.96201096,-121.8627349
P214,37.0010207,-121.7965703
P215,37.04878558,-121.762951
P216,37.00242642,-121.7262087
P217,37.10449745,-121.6506334
P232,36.72402067,-121.5790429
P233,36.80042653,-121.4202851
P234,36.85852658,-121.591227
P235,36.81427274,-121.5415424
P239,36.96246261,-121.5477883
P241,37.21301113,-121.5742607
P242,36.95393199,-121.4631841
P243,36.91818901,-121.3351534
P244,37.0108236,-121.3545182
P250,36.95003538,-121.2684389
P787,36.7994767,-121.5808327
P788,36.74433606,-121.4787639
